phrase,mu,sigma,rank
most likely,43.43685173843055,1.252499665514315,0
appears to be,40.02675693784032,1.1344747769616461,1
consistent with,39.646785755101746,1.1178100844775927,2
probable,39.42433247882465,1.1116485796988314,3
likely,38.78099466031818,1.0986727439083512,4
more likely,36.44633940287359,1.0612868013891112,5
worrisome for,34.10197837362573,1.0279255974873098,6
concerning for,33.87741824939418,1.0135754280066571,7
suggestive of,33.02324438064744,0.993833455016205,8
suggests,32.75255393626736,0.9793094937488446,9
appears,32.59116562761096,0.9479750400899076,10
probably,30.82523299129618,0.9312097454471381,11
suspected,30.40137733810007,0.9562704677169117,12
suggesting,30.131945700043286,0.9464949726886578,13
appear,26.745842590723914,0.8649828445335859,14
may represent,25.92324422333458,0.9122674519564743,15
may be,25.273437255918264,0.9048891338429812,16
and/or,24.928834698661806,0.90692553198356,17
either,24.90261847672196,0.9053961056619112,18
may,23.569904119018634,0.9005999846954721,19
may reflect,23.41283912470891,0.8909344105294755,20
possible,22.92369178229979,0.8970603685337395,21
may be due to,22.90945892119178,0.8971807860144793,22
possibly,22.84231698963567,0.8936441252353825,23
could be due to,21.600034518377804,0.8976665716184478,24
could be,21.48037192910915,0.8980542862750495,25
might,21.16298538526104,0.8972483563902689,26
could,20.903455625686114,0.897167923081369,27
suggest,20.81637072338391,0.8774735838472069,28
could represent,20.788044236914185,0.9028459666580761,29
could reflect,20.41902502676692,0.9080441730126205,30
potentially,20.2807522907649,0.8922167463530062,31
or,20.026973056861774,0.8975007324123684,32
not excluded,18.325960442097443,0.9253674962638918,33
cannot be excluded,17.955380295053196,0.931307067057315,34
difficult to exclude,17.693014347613648,0.9192554560211272,35
versus,15.722542097723743,0.9675003804264358,36
possibility,15.311985493179126,0.9693838154755643,37
differential,12.75473922067109,1.0394051907039639,38
cannot be entirely excluded,12.737276061000614,1.0453074105844469,39
if any,10.067152665214106,1.1056400019862944,40
less likely,7.07158165579799,1.3037295677486642,41
